,algo,cv fold,metric,value
21,Bagging,1,test_f1,0.8683321213158233
22,Bagging,2,test_f1,0.8685064935064934
23,Bagging,3,test_f1,0.8786621615841923
24,Bagging,4,test_f1,0.8681844516447438
25,Bagging,0,test_roc_auc,0.8942847222222222
26,Bagging,1,test_roc_auc,0.9058472222222222
27,Bagging,2,test_roc_auc,0.9062777777777778
28,Bagging,3,test_roc_auc,0.9125972222222223
29,Bagging,4,test_roc_auc,0.9049791666666667
0,AdaBoost,0,fit_time,1068.419395685196
1,AdaBoost,1,fit_time,1070.2691931724548
2,AdaBoost,2,fit_time,1067.8228421211243
3,AdaBoost,3,fit_time,1072.9306213855743
4,AdaBoost,4,fit_time,1064.3196287155151
5,AdaBoost,0,score_time,2.1070265769958496
6,AdaBoost,1,score_time,1.9159820079803467
7,AdaBoost,2,score_time,2.100982904434204
8,AdaBoost,3,score_time,1.884798526763916
9,AdaBoost,4,score_time,2.3091328144073486
10,AdaBoost,0,test_precision,0.8385071037277869
11,AdaBoost,1,test_precision,0.8538627649728967
12,AdaBoost,2,test_precision,0.8579036123191621
13,AdaBoost,3,test_precision,0.8623743523889652
14,AdaBoost,4,test_precision,0.861283175837591
15,AdaBoost,0,test_recall,0.7844583333333334
16,AdaBoost,1,test_recall,0.8072916666666666
17,AdaBoost,2,test_recall,0.8055
18,AdaBoost,3,test_recall,0.8114583333333333
19,AdaBoost,4,test_recall,0.7937083333333333
20,AdaBoost,0,test_f1,0.8105827395431942
21,AdaBoost,1,test_f1,0.8299243965646483
22,AdaBoost,2,test_f1,0.8308763484763828
23,AdaBoost,3,test_f1,0.8361419401927742
24,AdaBoost,4,test_f1,0.826116182752564
25,AdaBoost,0,test_roc_auc,0.8670486111111111
26,AdaBoost,1,test_roc_auc,0.8806180555555555
27,AdaBoost,2,test_roc_auc,0.8805138888888888
28,AdaBoost,3,test_roc_auc,0.8841458333333334
29,AdaBoost,4,test_roc_auc,0.8755486111111112
